id,desc,domain,uc,tiers,gap
Cl.4.1,Understanding the organization and its context,D1,UC-01,T1;T2;T3,
Cl.4.2,Understanding needs of interested parties,D1,UC-01,T1;T2;T3,
Cl.4.3,Determining scope of the AIMS,D1,UC-01,T1;T2;T3,
Cl.4.4,AI management system establishment,D1,UC-01,T1;T2;T3,
Cl.5.2,AI policy establishment,D1,UC-01,T1;T2;T3,
Cl.5.3,Organizational roles and responsibilities,D1,UC-01,T1;T2;T3,
Cl.6.1,Actions to address risks and opportunities,D1,UC-01,T1;T2;T3,
Cl.7.1,Resources for the AIMS,D1,UC-01,T1;T2;T3,
Cl.8.2,AI risk assessment execution,D1,UC-01,T1;T2;T3,
A.2.2,AI policy,D1,UC-01,T1;T2;T3,
A.2.3,Roles and responsibilities for AI,D1,UC-01,T1;T2;T3,
A.3.2,Resources for AI system lifecycle,D1,UC-01,T1;T2;T3,
A.4.1,AI risk identification,D1,UC-01,T1;T2;T3,
A.4.2,AI risk analysis and evaluation,D1,UC-01,T1;T2;T3,
A.4.3,AI risk criteria and acceptance,D1,UC-01,T1;T2;T3,
A.6.2.2,Change impact assessment,D1,UC-01,T1;T2;T3,
A.8.1,AI system impact assessment,D1,UC-01,T1;T2;T3,
A.8.2,Impact on affected individuals,D1,UC-01,T1;T2;T3,
A.5.1,Risk treatment option selection,D1,UC-02,T1;T2;T3,
A.5.2,Risk treatment plan implementation,D1,UC-02,T1;T2;T3,
Cl.6.2,AI objectives and planning to achieve them,D1,UC-02,T1;T2;T3,
Cl.8.1,Operational planning and control,D1,UC-02,T1;T2;T3,
Cl.8.3,AI risk treatment execution,D1,UC-02,T1;T2;T3,
A.7.1,Data quality management,D2,UC-03,T2;T3,
A.7.2,Data provenance and lineage,D2,UC-03,T2;T3,
A.7.3,Data representativeness assessment,D2,UC-03,T2;T3,
A.6.2.3,Model retraining governance,D2,UC-03,T2;T3,
A.7.4,Bias identification in data,D2,UC-04,T2;T3,
A.3.3,AI competence for data handling,D2,UC-03,T2;T3,
Cl.7.2,Competence of data management personnel,D2,UC-03,T2;T3,
A.15.1,Human oversight design requirements,D3,UC-05,T1;T2,
A.15.2,Operator competency and training,D3,UC-05,T1;T2,
Cl.5.1,Leadership commitment to oversight,D3,UC-05,T1;T2,
A.15.3,Override mechanism design,D3,UC-06,T1;T2,
A.15.4,Safe interruption capability,D3,UC-06,T1;T2,
A.13,Interpretability of AI outputs,D4,UC-08,T1;T2;T3,
A.14,Communication of AI capabilities and limitations,D4,UC-08,T1;T2;T3,
A.3.4,Awareness of AI management system,D4,UC-08,T1;T2;T3,
A.9,Performance and accuracy validation,D5,UC-09,T1;T2;T3,
A.6.1.2,Pre-deployment validation requirements,D5,UC-09,T1;T2;T3,
A.10,Robustness and resilience testing,D5,UC-10,T1;T2;T3,
Cl.7.3,Awareness of accuracy objectives,D5,UC-09,T1;T2;T3,
A.12,AI system documentation controls,D6,UC-07,T1;T2;T3,
A.6.1.1,AI lifecycle process documentation,D6,UC-07,T1;T2;T3,
A.6.1.3,Deployment criteria and approval,D6,UC-07,T1;T2;T3,
Cl.7.5,Documented information requirements,D6,UC-07,T1;T2;T3,
A.6.2.1,Methods for AI system change documentation,D6,UC-07,T1;T2;T3,
A.18,Third-party AI component assessment,D7,UC-11,T3,
A.GAP.SC,Supply chain audit programme governance,D7,,T1;T2;T3,organizational_procedure
A.16,AI system monitoring controls,D8,UC-12,T1;T2;T3,
A.17,AI incident handling,D8,UC-12,T1;T2;T3,
Cl.10.1,Nonconformity and corrective action,D8,UC-12,T1;T2;T3,
Cl.7.4,Communication processes for incidents,D8,UC-12,T1;T2;T3,
A.GAP.IA,Internal audit workflow,D8,,T1;T2;T3,organizational_procedure
A.GAP.MR,Management review workflow,D8,,T1;T2;T3,organizational_procedure
