id,desc,domain,uc,tiers,gap
GV.1.1,Legal and regulatory requirements identified,D1,UC-01,T1;T2;T3,
GV.1.2,Trustworthy AI characteristics prioritised,D1,UC-01,T1;T2;T3,
MAP.1.1,Intended purpose and context documented,D1,UC-01,T1;T2;T3,
MAP.1.5,Organizational risk tolerance calibrated,D1,UC-01,T1;T2;T3,
MAP.5.1,Risks identified systematically,D1,UC-01,T1;T2;T3,
MAP.5.2,Risks analysed and prioritised,D1,UC-01,T1;T2;T3,
MG.1.1,Risk prioritisation completed,D1,UC-02,T1;T2;T3,
MG.1.2,Risk response selection,D1,UC-02,T1;T2;T3,
MG.1.3,Risk response implementation,D1,UC-02,T1;T2;T3,
MG.1.4,Risk response effectiveness monitored,D1,UC-02,T1;T2;T3,
NIST.GAP.1,Organizational context mapping and profiling,D1,,T1;T2;T3,context_setting
NIST.GAP.2,AI system lifecycle definition,D1,,T1;T2;T3,context_setting
NIST.GAP.3,Stakeholder engagement planning,D1,,T1;T2;T3,context_setting
NIST.GAP.4,Participatory design process documentation,D1,,T1;T2;T3,context_setting
NIST.GAP.5,Cost-benefit threshold setting,D1,,T1;T2;T3,context_setting
NIST.GAP.6,Organizational AI maturity self-assessment,D1,,T1;T2;T3,context_setting
NIST.GAP.7,Cross-functional team composition requirements,D1,,T1;T2;T3,context_setting
MAP.2.1,Data acquisition methods documented,D2,UC-03,T2;T3,
MAP.2.2,Data labeling practices assessed,D2,UC-03,T2;T3,
MAP.2.3,Data quality assessment performed,D2,UC-03,T2;T3,
ME.2.6,Data robustness testing performed,D2,UC-03,T2;T3,
ME.2.10,Fairness evaluation performed,D2,UC-04,T2;T3,
ME.2.11,Bias monitoring in production,D2,UC-04,T2;T3,
MAP.1.6,System data requirements and constraints,D2,UC-03,T2;T3,
GV.3.2,Human oversight mechanisms defined,D3,UC-05,T1;T2,
MAP.3.5,Human-AI interaction mapped,D3,UC-05,T1;T2,
MAP.3.1,Benefits assessment for oversight context,D3,UC-05,T1;T2,
MG.2.4,Override and intervention mechanisms,D3,UC-06,T1;T2,
MAP.4.1,Risk mapping for oversight requirements,D3,UC-06,T1;T2,
GV.4.1,Organizational transparency policies,D4,UC-08,T1;T2;T3,
GV.4.2,Documentation of AI systems for stakeholders,D4,UC-08,T1;T2;T3,
GV.4.3,Stakeholder communication mechanisms,D4,UC-08,T1;T2;T3,
ME.1.1,Measurement approaches defined,D5,UC-09,T1;T2;T3,
ME.1.2,Metrics selected for AI system evaluation,D5,UC-09,T1;T2;T3,
ME.1.3,Measurement frequency established,D5,UC-09,T1;T2;T3,
ME.2.3,Metrics tracked over time,D5,UC-09,T1;T2;T3,
ME.2.5,Accuracy validated against defined metrics,D5,UC-09,T1;T2;T3,
ME.2.7,Adversarial resilience evaluated,D5,UC-10,T1;T2;T3,
ME.2.9,Cybersecurity assessment completed,D5,UC-10,T1;T2;T3,
MAP.4.2,Risk model for accuracy requirements,D5,UC-09,T1;T2;T3,
MG.2.1,Accuracy response plans documented,D5,UC-10,T1;T2;T3,
MG.2.2,Robustness contingency procedures,D5,UC-10,T1;T2;T3,
GV.1.3,AI risk management processes documented,D6,UC-07,T1;T2;T3,
GV.1.4,Risk management integrated into organizational processes,D6,UC-07,T1;T2;T3,
GV.1.5,Organizational AI policies established,D6,UC-07,T1;T2;T3,
ME.2.1,Evaluation documentation maintained,D6,UC-07,T1;T2;T3,
MG.2.3,Recovery protocols documented,D6,UC-07,T1;T2;T3,
MAP.5.2a,Risk analysis documentation,D6,UC-07,T1;T2;T3,
ME.2.8,Operational monitoring documentation,D6,UC-07,T1;T2;T3,
ME.4.1,Measurement results documentation,D6,UC-07,T1;T2;T3,
GV.6.1,Third-party risk policies established,D7,UC-11,T3,
GV.6.2,Vendor assessment and monitoring procedures,D7,UC-11,T3,
MG.3.1,Third-party risk management active,D7,UC-11,T3,
MG.3.2,Vendor compliance monitoring,D7,UC-11,T3,
ME.3.1,Risk monitoring processes active,D8,UC-12,T1;T2;T3,
ME.3.2,Performance monitoring established,D8,UC-12,T1;T2;T3,
ME.3.3,Anomaly detection operational,D8,UC-12,T1;T2;T3,
ME.4.2,Risk reporting to decision-makers,D8,UC-12,T1;T2;T3,
MG.4.1,Incident detection and response,D8,UC-12,T1;T2;T3,
MG.4.2,Incident classification and triage,D8,UC-12,T1;T2;T3,
MG.4.3,Corrective action implementation,D8,UC-12,T1;T2;T3,
MG.4.4,Lessons learned integration,D8,UC-12,T1;T2;T3,
